SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
30581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,69190.0,69419.0,0.0
